         ZIP | 1000
        City | 'Ljubljana, Slovenija'
    Location | (46.057, 14.506)
      Google | 62,100

         ZIP | 1001
        City | 'Ljubljana – P.P., Slovenija'
    Location | (46.057, 14.506)
      Google | 55,500

         ZIP | 1210
        City | 'Ljubljana – Šentvid, Slovenija'
    Location | (46.104, 14.453)
      Google | 413

         ZIP | 1211
        City | 'Ljubljana – Šmartno, Slovenija'
    Location | (46.131, 14.477)
      Google | 265

         ZIP | 1215
        City | 'Medvode, Slovenija'
    Location | (46.142, 14.403)
      Google | 731

         ZIP | 1216
        City | 'Smlednik, Slovenija'
    Location | (46.166, 14.434)
      Google | 7

         ZIP | 1217
        City | 'Vodice, Slovenija'
    Location | (46.190, 14.494)
      Google | 476

         ZIP | 1218
        City | 'Komenda, Slovenija'
    Location | (46.205, 14.539)
      Google | 284

         ZIP | 1219
        City | 'Laze v Tuhinju, Slovenija'
    Location | (46.219, 14.760)
      Google | 78

         ZIP | 1221
        City | 'Motnik, Slovenija'
    Location | (46.215, 14.885)
      Google | 0

        Time | 5.7 sec

     Proverb | 'Vse je šlo za med.'
     Synonym | 'Use bo gre nadaljno primerjavi.'
          HR | 'Sve je bilo u vezi s medom.'
          EN | 'It was all about honey.'
          DE | 'Es ging nur um Honig.'
          FR | 'Tout était question de miel.'
          ZH | '都是关于蜂蜜的。'

     Proverb | 'Jezik z mošnjo raste.'
     Synonym | 'Dialekt s listnico pada.'
          HR | 'Jezik raste s skrotumom.'
          EN | 'The tongue grows with the scrotum.'
          DE | 'Die Zunge wächst mit dem Hodensack.'
          FR | 'La langue grandit avec le scrotum.'
          ZH | '舌头与阴囊一起生长。'

     Proverb | 'Lakota je najboljši kuhar.'
     Synonym | 'Žeja bo najslabši slaščičar.'
          HR | 'Glad je najbolji kuhar.'
          EN | 'Hunger is the best cook.'
          DE | 'Hunger ist der beste Koch.'
          FR | 'La faim est le meilleur cuisinier.'
          ZH | '饥饿是最好的厨师。'

     Proverb | 'Za prepir sta potrebna dva.'
     Synonym | 'Nadaljno pretep bosta nujna oba.'
          HR | 'Potrebne su dvije svađe.'
          EN | 'It takes two quarrels.'
          DE | 'Es dauert zwei Streitereien.'
          FR | 'Il faut deux querelles.'
          ZH | '这需要两个争吵。'

     Proverb | 'En cvet še ne naredi pomladi.'
     Synonym | 'Kak nagelj she nea naredita jeseni.'
          HR | 'Jedan cvijet još ne čini proljeće.'
          EN | 'One flower does not make spring yet.'
          DE | 'Eine Blume macht noch keinen Frühling.'
          FR | 'Une fleur ne fait pas encore printemps.'
          ZH | '一朵花还没有春天。'

     Proverb | 'Rožnik deževen viničar reven.'
     Synonym | 'Mostec sončen gostilničar ubog.'
          HR | 'Krunica vinogradar siromašan.'
          EN | 'Rosary a winegrower poor.'
          DE | 'Rosenkranz ein armer Winzer arm.'
          FR | 'Rosaire un vigneron pauvre.'
          ZH | '念珠酿酒人贫寒。'

     Proverb | 'Visokim smrekam vihar vrhove lomi.'
     Synonym | 'Nizkim iglavcem cunami vršace drobi.'
          HR | 'Visoka smrekova oluja ruši vrhove.'
          EN | 'High spruce whirlwind tops break.'
          DE | 'Wirbelstürme aus hoher Fichte brechen.'
          FR | 'La forte tempête d&#39;épinettes brise les sommets.'
          ZH | '高云杉的暴风雨打破了山峰。'

     Proverb | 'Odloženo delo obtožuje, zamujeno kaznuje.'
     Synonym | 'Ustavljeno udejstvovanje obtožujejo, izgubljeno sankcionira.'
          HR | 'Kašnjenje u radu optužuje, kažnjava propušteno.'
          EN | 'Delayed work accuses, punishes missed.'
          DE | 'Verspätete Arbeit beschuldigt, bestraft versäumt.'
          FR | 'Travail retardé accuse, punit manqué.'
          ZH | '拖延工作指责，惩罚失职。'

     Proverb | 'Kdor gre na Dunaj, naj pusti trebuh zunaj.'
     Synonym | 'Gdor šlo nanj Celovec, nej pustijo trebušček izven.'
          HR | 'Svatko tko ide u Beč trebao bi ostaviti trbuh vani.'
          EN | 'Anyone who goes to Vienna should leave their belly outside.'
          DE | 'Wer nach Wien geht, sollte den Bauch draußen lassen.'
          FR | 'Quiconque se rend à Vienne doit laisser son ventre dehors.'
          ZH | '任何去维也纳的人都应该把肚子放在外面。'

     Proverb | 'Počasi se daleč pride, naglica koristi samo zajcem.'
     Synonym | 'Zlagoma inse dalec prihaja, ihta ugodnosti le jelenom.'
          HR | 'Polako dolazi dug put, zec samo koristi zecu.'
          EN | 'It is slowly coming a long way, the hare only benefits the rabbit.'
          DE | 'Es kommt langsam ein langer Weg, der Hase kommt nur dem Kaninchen zugute.'
          FR | 'Il vient lentement de loin, le lièvre ne profite qu&#39;aux lapins.'
          ZH | '它慢慢地走了很长一段路，野兔只对兔子有利。'

        Time | 18.4 sec

