                 GoT character | # | Like 'Adrack Humble'
               'Podrick Payne' | 1 | 38.5% (8)
                  'Areo Hotah' | 2 | 30.8% (9)
                'Arthur Dayne' | 3 | 23.1% (10)
                  'Arya Stark' | 4 | 23.1% (10)
                  'Bran Stark' | 5 | 23.1% (10)
                 'Donnel Hill' | 6 | 23.1% (10)
                'Hoster Tully' | 7 | 23.1% (10)
                        'Jack' | 8 | 23.1% (10)

                 GoT character | # | Like 'Akho'
                        'Iggo' | 1 | 25.0% (3)
                        'Mago' | 2 | 25.0% (3)
                        'Mero' | 3 | 25.0% (3)
                        'Osha' | 4 | 25.0% (3)
                       'Othor' | 5 | 40.0% (3)
                       'Qotho' | 6 | 40.0% (3)
                       'Dongo' | 7 | 20.0% (4)
                       'Ghost' | 8 | 20.0% (4)

                 GoT character | # | Like 'Alliser Thorne'
          'Ser Alliser Thorne' | 1 | 77.8% (4)
                    'Viserion' | 2 | 42.9% (8)
                'Arthur Dayne' | 3 | 35.7% (9)
                  'Melisandre' | 4 | 35.7% (9)
                 'Walder Frey' | 5 | 35.7% (9)
                  'Areo Hotah' | 6 | 28.6% (10)
                  'Bolton Son' | 7 | 28.6% (10)
                     'Brienne' | 8 | 28.6% (10)

                 GoT character | # | Like 'Amory Loch'
             'Ser Amory Lorch' | 1 | 66.7% (5)
                  'Areo Hotah' | 2 | 30.0% (7)
                      'Doreah' | 3 | 30.0% (7)
                   'Grey Worm' | 4 | 30.0% (7)
                        'Akho' | 5 | 20.0% (8)
                  'Arya Stark' | 6 | 20.0% (8)
                       'Borba' | 7 | 20.0% (8)
                       'Bronn' | 8 | 20.0% (8)

                 GoT character | # | Like 'Areo Hotah'
                  'Arya Stark' | 1 | 40.0% (6)
                   'Grey Worm' | 2 | 40.0% (6)
                  'Amory Loch' | 3 | 30.0% (7)
                  'Bran Stark' | 4 | 30.0% (7)
                      'Doreah' | 5 | 30.0% (7)
                     'Drennan' | 6 | 30.0% (7)
                      'Drogon' | 7 | 30.0% (7)
                   'Grey Wind' | 8 | 30.0% (7)

                 GoT character | # | Like 'Arthur Dayne'
            'Ser Arthur Dayne' | 1 | 75.0% (4)
                 'Brother Ray' | 2 | 50.0% (6)
                'Water Dancer' | 3 | 41.7% (7)
                 'Lothar Frey' | 4 | 33.3% (8)
               'Podrick Payne' | 5 | 38.5% (8)
                 'Robar Royce' | 6 | 33.3% (8)
              'Ser Ilyn Payne' | 7 | 42.9% (8)
                'Waymar Royce' | 8 | 33.3% (8)

                 GoT character | # | Like 'Arya Stark'
                  'Bran Stark' | 1 | 70.0% (3)
                   'Ned Stark' | 2 | 60.0% (4)
                   'Rob Stark' | 3 | 60.0% (4)
                  'Robb Stark' | 4 | 60.0% (4)
                 'Sansa Stark' | 5 | 63.6% (4)
                  'Areo Hotah' | 6 | 40.0% (6)
                'Benjen Stark' | 7 | 50.0% (6)
               'Catelyn Stark' | 8 | 53.8% (6)

                 GoT character | # | Like 'Bannen'
                       'Bronn' | 1 | 50.0% (3)
                       'Jaqen' | 2 | 50.0% (3)
                      'Wallen' | 3 | 50.0% (3)
                       'Barra' | 4 | 33.3% (4)
                       'Biter' | 5 | 33.3% (4)
                     'Brienne' | 6 | 42.9% (4)
                      'Dagmer' | 7 | 33.3% (4)
                     'Drennan' | 8 | 42.9% (4)

                 GoT character | # | Like 'Barra'
                       'Borba' | 1 | 60.0% (2)
                       'Gared' | 2 | 40.0% (3)
                        'Irri' | 3 | 40.0% (3)
                       'Karsi' | 4 | 40.0% (3)
                        'Nora' | 5 | 40.0% (3)
                       'Varly' | 6 | 40.0% (3)
                       'Zalla' | 7 | 40.0% (3)
                      'Bannen' | 8 | 33.3% (4)

                 GoT character | # | Like 'Belicho Paenymion'
                  'Bolton Son' | 1 | 35.3% (11)
                'Dickon Tarly' | 2 | 29.4% (12)
               'Maester Aemon' | 3 | 29.4% (12)
                  'Melisandre' | 4 | 29.4% (12)
            'Merchant Captain' | 5 | 29.4% (12)
               'Petyr Baelish' | 6 | 29.4% (12)
               'Podrick Payne' | 7 | 29.4% (12)
                'Ralf Kenning' | 8 | 29.4% (12)

                 GoT character | # | Like 'Benjen Stark'
                  'Bran Stark' | 1 | 66.7% (4)
                   'Ned Stark' | 2 | 58.3% (5)
                 'Sansa Stark' | 3 | 58.3% (5)
                  'Arya Stark' | 4 | 50.0% (6)
               'Catelyn Stark' | 5 | 53.8% (6)
                   'Rob Stark' | 6 | 50.0% (6)
                  'Robb Stark' | 7 | 50.0% (6)
                  'Thenn Warg' | 8 | 41.7% (7)

                 GoT character | # | Like 'Bernadette'
                     'Brienne' | 1 | 40.0% (6)
                     'Ygritte' | 2 | 40.0% (6)
                      'Bannen' | 3 | 30.0% (7)
                       'Barra' | 4 | 30.0% (7)
                       'Borba' | 5 | 30.0% (7)
                      'Cersei' | 6 | 30.0% (7)
                     'Craster' | 7 | 30.0% (7)
                    'Kurleket' | 8 | 30.0% (7)

                 GoT character | # | Like 'Billy'
                       'Mully' | 1 | 60.0% (2)
                        'Olly' | 2 | 60.0% (2)
                       'Sally' | 3 | 60.0% (2)
                        'Will' | 4 | 60.0% (2)
                       'Biter' | 5 | 40.0% (3)
                       'Varly' | 6 | 40.0% (3)
                       'Zalla' | 7 | 40.0% (3)
                       'Barra' | 8 | 20.0% (4)

                 GoT character | # | Like 'Biter'
                       'Billy' | 1 | 40.0% (3)
                        'Styr' | 2 | 40.0% (3)
                      'Bannen' | 3 | 33.3% (4)
                       'Barra' | 4 | 20.0% (4)
                       'Borba' | 5 | 20.0% (4)
                       'Bronn' | 6 | 20.0% (4)
                      'Cooper' | 7 | 33.3% (4)
                     'Craster' | 8 | 42.9% (4)

                 GoT character | # | Like 'Black Jack Bulwer'
         'Black Walder Rivers' | 1 | 47.4% (10)
                 'The Tickler' | 2 | 35.3% (11)
               'Adrack Humble' | 3 | 29.4% (12)
                 'Karl Tanner' | 4 | 29.4% (12)
           'King Mance Rayder' | 5 | 29.4% (12)
           'Lady Walda Bolton' | 6 | 29.4% (12)
              'Lord Jon Umber' | 7 | 29.4% (12)
              'Mirri Maz Duur' | 8 | 29.4% (12)

                 GoT character | # | Like 'Black Walder Rivers'
           'Black Jack Bulwer' | 1 | 47.4% (10)
            'Lord Walder Frey' | 2 | 47.4% (10)
              'Stark Soldiers' | 3 | 47.4% (10)
             'Bolton Soldiers' | 4 | 42.1% (11)
                 'Walder Frey' | 5 | 42.1% (11)
           'Lady Walda Bolton' | 6 | 36.8% (12)
               'White Walkers' | 7 | 36.8% (12)
               'Jafer Flowers' | 8 | 31.6% (13)

                 GoT character | # | Like 'Bolton Officer'
             'Bolton Soldiers' | 1 | 60.0% (6)
                  'Bolton Son' | 2 | 50.0% (7)
                   'Jon Umber' | 3 | 35.7% (9)
                    'Mortimer' | 4 | 35.7% (9)
                    'Polliver' | 5 | 35.7% (9)
                'Water Dancer' | 6 | 35.7% (9)
                       'Biter' | 7 | 28.6% (10)
                      'Cooper' | 8 | 28.6% (10)

                 GoT character | # | Like 'Bolton Soldiers'
              'Bolton Officer' | 1 | 60.0% (6)
                  'Bolton Son' | 2 | 60.0% (6)
              'Stark Soldiers' | 3 | 60.0% (6)
          'Lannister Soldiers' | 4 | 55.6% (8)
               'White Walkers' | 5 | 40.0% (9)
                'Benjen Stark' | 6 | 33.3% (10)
                  'Bran Stark' | 7 | 33.3% (10)
             'Eddison Tollett' | 8 | 33.3% (10)

                 GoT character | # | Like 'Bolton Son'
             'Bolton Soldiers' | 1 | 60.0% (6)
                       'Bronn' | 2 | 40.0% (6)
                    'Jon Snow' | 3 | 40.0% (6)
                      'Bannen' | 4 | 30.0% (7)
              'Bolton Officer' | 5 | 50.0% (7)
                       'Dongo' | 6 | 30.0% (7)
                      'Drogon' | 7 | 30.0% (7)
                   'Emmon Cuy' | 8 | 30.0% (7)

                 GoT character | # | Like 'Borba'
                       'Barra' | 1 | 60.0% (2)
                        'Nora' | 2 | 60.0% (2)
                      'Doreah' | 3 | 50.0% (3)
                       'Gordy' | 4 | 40.0% (3)
                      'Morgan' | 5 | 50.0% (3)
                       'Rorge' | 6 | 40.0% (3)
                       'Yoren' | 7 | 40.0% (3)
                       'Billy' | 8 | 20.0% (4)

                 GoT character | # | Like 'Bran Stark'
                  'Arya Stark' | 1 | 70.0% (3)
                'Benjen Stark' | 2 | 66.7% (4)
                   'Ned Stark' | 3 | 60.0% (4)
                   'Rob Stark' | 4 | 60.0% (4)
                  'Robb Stark' | 5 | 60.0% (4)
                 'Sansa Stark' | 6 | 63.6% (4)
               'Catelyn Stark' | 7 | 53.8% (6)
                     'Craster' | 8 | 40.0% (6)

                 GoT character | # | Like 'Brienne'
                       'Bronn' | 1 | 57.1% (3)
                       'Grenn' | 2 | 57.1% (3)
                      'Bannen' | 3 | 42.9% (4)
                     'Drennan' | 4 | 42.9% (4)
                        'Gren' | 5 | 42.9% (4)
                       'Billy' | 6 | 28.6% (5)
                       'Biter' | 7 | 28.6% (5)
                      'Drogon' | 8 | 28.6% (5)

                 GoT character | # | Like 'Bronn'
                       'Grenn' | 1 | 60.0% (2)
                      'Bannen' | 2 | 50.0% (3)
                     'Brienne' | 3 | 57.1% (3)
                      'Drogon' | 4 | 50.0% (3)
                        'Gren' | 5 | 40.0% (3)
                       'Qhono' | 6 | 40.0% (3)
                       'Barra' | 7 | 20.0% (4)
                       'Billy' | 8 | 20.0% (4)

                 GoT character | # | Like 'Brother Ray'
                'Arthur Dayne' | 1 | 50.0% (6)
                 'Lothar Frey' | 2 | 45.5% (6)
                   'White Rat' | 3 | 45.5% (6)
                       'Biter' | 4 | 36.4% (7)
                       'Borba' | 5 | 36.4% (7)
                       'Barra' | 6 | 27.3% (8)
                  'Bolton Son' | 7 | 27.3% (8)
                     'Brienne' | 8 | 27.3% (8)

                 GoT character | # | Like 'Catelyn Stark'
