city	zip	longitude	latitude	views
Ljubljana	1000	14.506	46.057	56300
Ljubljana – P.P.	1001	14.506	46.057	3780
Ljubljana – Šentvid	1210	14.453	46.104	416
Ljubljana – Šmartno	1211	14.479	46.13	433
Medvode	1215	14.403	46.142	749
Smlednik	1216	14.434	46.166	7
Vodice	1217	14.494	46.19	937
Komenda	1218	14.539	46.205	178
Laze v Tuhinju	1219	14.76	46.219	88
Motnik	1221	14.885	46.215	1
Trojane	1222	14.884	46.188	192
Blagovica	1223	14.804	46.176	6
Lukovica	1225	14.79	46.182	390
Domžale	1230	14.594	46.142	2540
Ljubljana – Črnuče	1231	14.556	46.101	358
Dob	1233	14.628	46.152	2180
Mengeš	1234	14.572	46.166	1090
Radomlje	1235	14.611	46.174	130
Trzin	1236	14.561	46.131	182
Kamnik	1241	14.607	46.222	1910
Stahovica	1242	14.606	46.27	58
Moravče	1251	14.744	46.136	352
Vače	1252	14.838	46.12	7
Ljubljana – Polje	1260	14.616	46.064	2180
Ljubljana – Dobrunje	1261	14.605	46.031	146
Dol pri Ljubljani	1262	14.64	46.087	10
Litija	1270	14.827	46.059	667
Polšnik	1272	14.961	46.068	0
Dole pri Litiji	1273	15.022	46.03	1
Gabrovka	1274	14.987	46.0	6
Šmartno pri Litiji	1275	14.841	46.046	9
Primskovo	1276	14.91	45.972	7
Kresnice	1281	14.785	46.102	8
Sava	1282	14.995	46.151	5530
Grosuplje	1290	14.659	45.956	819
Škofljica	1291	14.575	45.984	498
Ig	1292	14.528	45.959	6600
Šmarje – Sap	1293	14.617	45.974	100
Višnja Gora	1294	14.744	45.955	193
Ivančna Gorica	1295	14.796	45.919	968
Šentvid pri Stični	1296	14.839	45.954	110
Krka	1301	15.526	45.881	3160
Zagradec	1303	14.834	45.86	26
Ribnica	1310	14.727	45.74	1430
Turjak	1311	14.61	45.878	5
Videm – Dobrepolje	1312	14.695	45.849	3
Struge	1313	14.77	45.796	8
Rob	1314	14.571	45.848	25800
Velike Lašče	1315	14.636	45.834	10
Ortnek	1316	14.68	45.791	3
Sodražica	1317	14.636	45.762	10
Loški Potok	1318	14.599	45.691	6
Draga	1319	14.549	45.94	9230
Kočevje	1330	14.863	45.641	1090
Dolenja vas	1331	14.755	45.708	445
Stara Cerkev	1332	14.84	45.67	9
Kostel	1336	14.909	45.508	199
Osilnica	1337	14.698	45.529	10
Kočevska Reka	1338	14.8	45.575	4
Brezovica pri Ljubljani	1351	14.417	46.024	913
Preserje	1352	14.418	45.956	93
Borovnica	1353	14.364	45.919	654
Horjul	1354	14.299	46.023	9
Polhov Gradec	1355	14.312	46.066	10
Dobrova	1356	14.414	46.054	683
Notranje Gorice	1357	14.4	45.987	9
Log pri Brezovici	1358	14.359	46.008	164
Vrhnika	1360	14.297	45.967	2850
Logatec	1370	14.229	45.917	788
Logatec	1371	14.229	45.917	788
Hotedršica	1372	14.14	45.93	5
Rovte	1373	14.178	45.986	6
Cerknica	1380	14.392	45.797	982
Rakek	1381	14.317	45.813	107
Begunje pri Cerknici	1382	14.383	45.818	7
Grahovo	1384	14.424	45.77	127
Nova vas	1385	14.506	45.773	3840
Stari trg pri Ložu	1386	14.471	45.715	165
Zagorje ob Savi	1410	14.995	46.135	851
Izlake	1411	14.93	46.154	46
Kisovec	1412	14.962	46.14	8
Čemšenik	1413	14.944	46.18	1
Podkum	1414	15.034	46.07	4
Trbovlje	1420	15.045	46.15	2110
Dobovec	1423	15.059	46.111	9
Hrastnik	1430	15.084	46.142	1210
Dol pri Hrastniku	1431	15.116	46.141	492
Zidani Most	1432	15.173	46.085	2
Radeče	1433	15.182	46.066	7
Loka pri Zidanem Mostu	1434	15.208	46.056	6
Maribor	2000	15.646	46.555	17800
Maribor – P.P.	2001	15.646	46.555	1610
Zgornja Kungota	2201	15.614	46.638	2180
Miklavž na Dravskem polju	2204	15.695	46.508	157
Starše	2205	15.748	46.464	9
Marjeta na Dravskem polju	2206	15.727	46.462	3
Pohorje	2208	15.41	46.51	779
Pesnica pri Mariboru	2211	15.676	46.609	473
Šentilj v Slovenskih goricah	2212	15.657	46.677	5
Zgornja Velka	2213	15.763	46.682	5
Sladki Vrh	2214	15.735	46.697	2
Ceršak	2215	15.668	46.699	2
Jarenina	2221	15.693	46.644	3
Jakobski Dol	2222	15.744	46.637	6
Jurovski Dol	2223	15.786	46.606	4
Malečnik	2229	15.697	46.556	50
Lenart v Slovenskih goricah	2230	15.826	46.583	9
Pernica	2231	15.727	46.579	174
Voličina	2232	15.84	46.53	6
Sv. Ana v Slovenskih goricah	2233	15.845	46.65	6
Benedikt	2234	15.89	46.608	6
Sv. Trojica v Slovenskih goricah	2235	15.879	46.577	3
Cerkvenjak	2236	15.943	46.567	71
Spodnji Duplek	2241	15.755	46.501	10
Zgornja Korena	2242	15.776	46.528	2
Ptuj	2250	15.87	46.42	4090
Dornava	2252	15.953	46.436	8
Destrnik	2253	15.878	46.492	4
Trnovska vas	2254	15.887	46.52	8
Vitomarci	2255	15.933	46.526	5
